ftitle,fsubtitle,btitle,bsubtitle,audio
活ける,(いける),to arrange (flowers),,[sound:活ける.wav]
to arrange (flowers),,活ける,(いける),[sound:活ける.wav]
異見,(いけん),"different opinion, objection",,[sound:異見.wav]
"different opinion, objection",,異見,(いけん),[sound:異見.wav]
意向,(いこう),"intention, idea, inclination",,[sound:意向.wav]
"intention, idea, inclination",,意向,(いこう),[sound:意向.wav]
移行,(いこう),switching over to,,[sound:移行.wav]
switching over to,,移行,(いこう),[sound:移行.wav]
いざ,,"now, come (now), well, crucial moment",,[sound:いざ.wav]
"now, come (now), well, crucial moment",,いざ,,[sound:いざ.wav]
碑,(いしぶみ),stone monument bearing an inscription,,[sound:碑.wav]
stone monument bearing an inscription,,碑,(いしぶみ),[sound:碑.wav]
衣装,(いしょう),"clothing, costume, outfit, garment, dress",,[sound:衣装.wav]
"clothing, costume, outfit, garment, dress",,衣装,(いしょう),[sound:衣装.wav]
意地,(いじ),"disposition, spirit, willpower, obstinacy, backbone, appetite",,[sound:意地.wav]
"disposition, spirit, willpower, obstinacy, backbone, appetite",,意地,(いじ),[sound:意地.wav]
苛める,(いじめる),"to tease, to torment, to persecute, to chastise",,[sound:苛める.wav]
"to tease, to torment, to persecute, to chastise",,苛める,(いじめる),[sound:苛める.wav]
移住,(いじゅう),"migration, immigration",,[sound:移住.wav]
"migration, immigration",,移住,(いじゅう),[sound:移住.wav]
弄る,(いじる),"to touch, to tamper with",,[sound:弄る.wav]
"to touch, to tamper with",,弄る,(いじる),[sound:弄る.wav]
何れ,(いずれ),"where, which, who, anyway, anyhow, at any rate",,[sound:何れ.wav]
"where, which, who, anyway, anyhow, at any rate",,何れ,(いずれ),[sound:何れ.wav]
異性,(いせい),the opposite sex,,[sound:異性.wav]
the opposite sex,,異性,(いせい),[sound:異性.wav]
遺跡,(いせき),historic ruins (remains relics),,[sound:遺跡.wav]
historic ruins (remains relics),,遺跡,(いせき),[sound:遺跡.wav]
依然,(いぜん),"still, as yet",,[sound:依然.wav]
"still, as yet",,依然,(いぜん),[sound:依然.wav]
依存,(いそん),"dependence, dependent, reliance",,[sound:依存.wav]
"dependence, dependent, reliance",,依存,(いそん),[sound:依存.wav]
委託,(いたく),"consign (goods (for sale) to a firm), entrust (person with something), commit",,[sound:委託.wav]
"consign (goods (for sale) to a firm), entrust (person with something), commit",,委託,(いたく),[sound:委託.wav]
頂,(いただき),"(top of) head, summit, spire",,[sound:頂.wav]
"(top of) head, summit, spire",,頂,(いただき),[sound:頂.wav]
戴きます,(いただきます),expression of gratitude before meals,,[sound:戴きます.wav]
expression of gratitude before meals,,戴きます,(いただきます),[sound:戴きます.wav]
至って,(いたって),"very much, exceedingly, extremely",,[sound:至って.wav]
"very much, exceedingly, extremely",,至って,(いたって),[sound:至って.wav]
痛む,(いたむ),"to hurt, to feel a pain, to be injured",,[sound:痛む.wav]
"to hurt, to feel a pain, to be injured",,痛む,(いたむ),[sound:痛む.wav]
痛める,(いためる),"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over",,[sound:痛める.wav]
"to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over",,痛める,(いためる),[sound:痛める.wav]
炒める,(いためる),to stir-fry,,[sound:炒める.wav]
to stir-fry,,炒める,(いためる),[sound:炒める.wav]
労る,(いたわる),"to pity, to sympathize with, to console, to care for, to be kind to",,[sound:労る.wav]
"to pity, to sympathize with, to console, to care for, to be kind to",,労る,(いたわる),[sound:労る.wav]
位地,(いち),"place, situation, position, location",,[sound:位地.wav]
"place, situation, position, location",,位地,(いち),[sound:位地.wav]
一々,(いちいち),"one by one, separately",,[sound:一々.wav]
"one by one, separately",,一々,(いちいち),[sound:一々.wav]
一概に,(いちがいに),"unconditionally, as a rule",,[sound:一概に.wav]
"unconditionally, as a rule",,一概に,(いちがいに),[sound:一概に.wav]
一見,(いちげん),"unfamiliar, never before met",,[sound:一見.wav]
"unfamiliar, never before met",,一見,(いちげん),[sound:一見.wav]
